epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5528,1.69554,4.72521,9.673,2.02924,0.78766,0.79167,0.79034,0.1597,0.00033,0.125,0.00071,0.00016,2.87593,12.3047,10.0699,4.6161,0.0004,0.0004,0.0004
2,35.9002,1.14408,1.49666,2.38773,1.58018,0.78485,0.58333,0.72451,0.337,0.82932,0.66667,0.78608,0.40785,1.49324,3.11462,6.44085,3.91559,0.000815941,0.000815941,0.000815941
3,50.0947,1.16057,1.01894,1.50404,1.58603,0.67314,0.16667,0.1562,0.03581,0.3697,0.08333,0.0651,0.00651,4.04986,30.7617,7.56687,4.78184,0.00122772,0.00122772,0.00122772
4,64.1469,1.10113,1.26556,1.08706,1.51155,0.00022,0.08333,0.00014,2e-05,0,0,0,0,4.46229,434.766,7.57316,6.30112,0.00163535,0.00163535,0.00163535
5,78.2343,1.18732,1.04449,1.11554,1.57839,0.36304,0.16667,0.1423,0.02768,0.05618,0.125,0.01571,0.00685,3.10344,94.9805,2.60512,3.10587,0.0019604,0.0019604,0.0019604
6,92.1457,1.03919,0.92104,0.97697,1.42927,0,0,0,0,0,0,0,0,6.04691,35.8301,4.48314,7.19321,0.0019505,0.0019505,0.0019505
7,106.157,0.9759,0.88818,0.84298,1.40968,0.5189,0.53938,0.39663,0.24085,0.5189,0.53938,0.41227,0.25843,1.78091,2.55249,4.21084,2.4173,0.0019406,0.0019406,0.0019406
8,120.036,0.9639,0.88668,0.75561,1.35998,0.20928,0.83333,0.30495,0.09553,0.27397,0.86487,0.36001,0.16739,2.62806,0.62759,5.10607,4.11293,0.0019307,0.0019307,0.0019307
9,133.673,0.92943,0.8489,0.80403,1.38627,0.72854,0.875,0.73358,0.36866,0.7662,0.91667,0.77217,0.2208,1.78211,5.33569,1.62853,2.17327,0.0019208,0.0019208,0.0019208
10,147.293,0.89496,0.77338,0.70506,1.31447,0.52838,0.625,0.55581,0.18216,0.38835,0.5,0.41504,0.20791,2.44068,1.62598,2.31,3.30642,0.0019109,0.0019109,0.0019109
11,160.935,0.82747,0.78891,0.67994,1.26161,0.92259,0.95833,0.96518,0.66198,0.92259,0.95833,0.96518,0.74467,1.33949,1.0849,1.02756,1.56237,0.001901,0.001901,0.001901
12,174.799,0.81054,0.6846,0.67335,1.26521,0.13564,0.125,0.01877,0.00211,0.18091,0.16667,0.03252,0.00349,4.70556,7.55127,3.72677,6.01581,0.0018911,0.0018911,0.0018911
13,188.395,0.7927,0.65285,0.62173,1.24915,0.58208,1,0.80091,0.38327,0.58208,1,0.85973,0.59083,1.49269,0.43121,2.11581,1.11872,0.0018812,0.0018812,0.0018812
14,202.179,0.81645,0.74351,0.65744,1.26404,0.64266,1,0.76407,0.50162,0.64266,1,0.76407,0.66879,1.11531,0.34172,1.27997,1.11166,0.0018713,0.0018713,0.0018713
15,215.896,0.79881,0.62996,0.61454,1.24466,0.75866,1,0.83425,0.6026,0.75866,1,0.83425,0.53118,0.99425,1.53534,1.36094,1.39493,0.0018614,0.0018614,0.0018614
16,229.59,0.78357,0.65116,0.60171,1.222,0.89515,1,0.96363,0.67532,0.89515,1,0.96363,0.84178,1.16677,0.47333,1.19432,1.22144,0.0018515,0.0018515,0.0018515
17,243.472,0.77978,0.66403,0.61158,1.21913,0.95922,0.9804,0.9918,0.66614,0.93803,0.95833,0.99026,0.59434,1.32256,1.05011,0.82035,2.29043,0.0018416,0.0018416,0.0018416
18,257.085,0.73365,0.66447,0.59029,1.23019,0.92202,0.98562,0.98711,0.5033,0.92202,0.98562,0.98711,0.69667,1.17709,0.28954,1.20484,1.46577,0.0018317,0.0018317,0.0018317
19,270.699,0.7237,0.66222,0.57183,1.19309,0.87515,1,0.9746,0.7631,0.87515,1,0.9746,0.90413,0.83105,0.26138,0.87012,0.93059,0.0018218,0.0018218,0.0018218
20,284.386,0.71558,0.62883,0.58786,1.20107,0.94195,1,0.9734,0.73911,0.94195,1,0.9734,0.81578,0.91533,0.28519,0.59566,1.17253,0.0018119,0.0018119,0.0018119
21,298.055,0.63983,0.5472,0.48483,1.14498,0.99315,1,0.995,0.75659,0.99315,1,0.995,0.88674,0.80331,0.38589,0.61696,1.04237,0.001802,0.001802,0.001802
22,311.724,0.70594,0.64592,0.51988,1.18102,0.94488,1,0.995,0.67357,0.94488,1,0.995,0.7717,1.0071,0.37079,0.86159,1.4313,0.0017921,0.0017921,0.0017921
23,325.476,0.70576,0.65642,0.54305,1.19606,0.94427,1,0.987,0.67436,0.95307,1,0.995,0.83457,1.15599,0.43419,0.74091,1.37445,0.0017822,0.0017822,0.0017822
24,339.294,0.66009,0.59247,0.51453,1.16587,0.92163,0.98036,0.98577,0.68958,0.92163,0.98036,0.98577,0.74508,1.01375,0.62988,0.68086,1.31668,0.0017723,0.0017723,0.0017723
25,353.103,0.6318,0.60678,0.50085,1.11245,0.82881,1,0.97543,0.80029,0.82881,1,0.97543,0.89905,0.71077,0.28107,0.67222,1.0043,0.0017624,0.0017624,0.0017624
26,366.896,0.67783,0.62903,0.51629,1.14939,0.99627,1,0.995,0.78685,0.99627,1,0.995,0.8788,0.86571,0.41153,2.22416,1.10602,0.0017525,0.0017525,0.0017525
27,380.732,0.62102,0.54868,0.47611,1.09631,0.91489,1,0.987,0.70717,0.91489,1,0.987,0.8361,0.86267,0.30991,0.76203,1.04219,0.0017426,0.0017426,0.0017426
28,394.321,0.61888,0.58765,0.4713,1.11602,0.97298,1,0.995,0.80115,0.97298,1,0.995,0.91127,0.84883,0.25543,0.6099,1.1295,0.0017327,0.0017327,0.0017327
29,408.223,0.60077,0.54998,0.47441,1.0847,0.9045,1,0.9934,0.82286,0.9045,1,0.9934,0.88232,0.71363,0.36644,0.56995,0.99663,0.0017228,0.0017228,0.0017228
30,421.907,0.62838,0.5739,0.49635,1.13778,0.99634,1,0.995,0.72402,0.99634,1,0.995,0.76212,0.92849,0.3495,0.8889,1.48878,0.0017129,0.0017129,0.0017129
31,435.712,0.63284,0.57498,0.49549,1.1176,0.98963,1,0.995,0.75812,0.98963,1,0.995,0.87543,0.92542,0.30739,0.8218,1.01654,0.001703,0.001703,0.001703
32,449.761,0.60468,0.58641,0.48365,1.10824,0.99622,1,0.995,0.77932,0.99622,1,0.995,0.80871,0.80455,0.33188,0.59879,1.11016,0.0016931,0.0016931,0.0016931
33,463.798,0.61047,0.60773,0.47349,1.11037,0.98016,1,0.995,0.73107,0.98016,1,0.995,0.84385,0.81365,0.23529,0.74016,1.04079,0.0016832,0.0016832,0.0016832
34,477.762,0.59005,0.59714,0.44925,1.10978,0.97276,1,0.995,0.74815,0.97276,1,0.995,0.7567,1.00076,0.26825,0.85831,1.16864,0.0016733,0.0016733,0.0016733
35,491.359,0.57676,0.54484,0.41096,1.09978,0.99565,1,0.995,0.75008,0.99565,1,0.995,0.91952,0.89836,0.28473,0.72158,1.17612,0.0016634,0.0016634,0.0016634
36,504.931,0.59823,0.57371,0.45227,1.09508,0.99462,1,0.995,0.77577,0.99462,1,0.995,0.87766,0.83511,0.29434,0.69781,1.03286,0.0016535,0.0016535,0.0016535
37,518.818,0.59869,0.55626,0.47016,1.11032,0.99125,1,0.995,0.78629,0.99125,1,0.995,0.84992,0.80093,0.24719,0.71365,1.01542,0.0016436,0.0016436,0.0016436
38,532.811,0.56078,0.50693,0.42367,1.06967,0.99729,1,0.995,0.83641,0.99729,1,0.995,0.90697,0.66161,0.2742,0.49845,0.86348,0.0016337,0.0016337,0.0016337
39,547.088,0.56465,0.55969,0.44914,1.07261,0.99745,1,0.995,0.79584,0.99745,1,0.995,0.90139,0.75833,0.27489,0.59339,1.04071,0.0016238,0.0016238,0.0016238
40,561.243,0.6067,0.56003,0.4397,1.10495,0.99397,1,0.995,0.77755,0.99397,1,0.995,0.75033,0.88081,1.17004,0.60874,1.09162,0.0016139,0.0016139,0.0016139
41,575.431,0.59967,0.51515,0.44192,1.10153,0.98982,1,0.995,0.79667,0.98982,1,0.995,0.84521,0.71783,0.26115,0.73875,0.99547,0.001604,0.001604,0.001604
42,589.402,0.55387,0.51406,0.40959,1.07131,0.88559,1,0.9934,0.77741,0.88559,1,0.9934,0.91258,0.73243,0.24673,0.83006,0.90095,0.0015941,0.0015941,0.0015941
43,603.406,0.61158,0.58086,0.4483,1.09471,0.94435,1,0.995,0.80938,0.94435,1,0.995,0.911,0.68633,0.23918,0.74293,0.97643,0.0015842,0.0015842,0.0015842
44,617.398,0.57234,0.53119,0.4353,1.07553,0.99605,1,0.995,0.82074,0.99605,1,0.995,0.9017,0.76249,0.27122,0.52387,1.01814,0.0015743,0.0015743,0.0015743
45,631.444,0.54563,0.52428,0.40401,1.06098,0.99317,1,0.995,0.79642,0.99317,1,0.995,0.88892,0.86315,0.23037,0.54345,1.07079,0.0015644,0.0015644,0.0015644
46,645.487,0.56942,0.52397,0.41702,1.0751,0.99577,1,0.995,0.84009,0.99577,1,0.995,0.89833,0.67729,0.27878,0.50127,0.95149,0.0015545,0.0015545,0.0015545
47,659.437,0.57038,0.56005,0.42302,1.0768,0.99737,1,0.995,0.75516,0.99737,1,0.995,0.91572,0.89939,0.27077,0.60489,0.92422,0.0015446,0.0015446,0.0015446
48,673.303,0.5489,0.47054,0.42224,1.06819,0.99438,1,0.995,0.88341,0.99438,1,0.995,0.88272,0.6056,0.28908,0.55033,0.87581,0.0015347,0.0015347,0.0015347
49,687.463,0.54624,0.49018,0.41982,1.0626,0.99267,1,0.995,0.78621,0.99267,1,0.995,0.91209,0.77222,0.27168,0.65611,0.93797,0.0015248,0.0015248,0.0015248
50,701.507,0.51137,0.48454,0.39707,1.04317,0.99737,1,0.995,0.82155,0.99737,1,0.995,0.91546,0.68464,0.28336,0.60776,0.79044,0.0015149,0.0015149,0.0015149
51,715.536,0.53685,0.49563,0.40789,1.0418,0.99595,1,0.995,0.88492,0.99595,1,0.995,0.90385,0.63239,0.24147,0.52234,0.90483,0.001505,0.001505,0.001505
52,729.65,0.51124,0.49777,0.38394,1.04443,0.98944,1,0.995,0.80074,0.98944,1,0.995,0.90914,0.71465,0.26596,0.6201,0.91393,0.0014951,0.0014951,0.0014951
53,743.722,0.53388,0.4957,0.39797,1.04902,0.99621,1,0.995,0.79195,0.99621,1,0.995,0.90963,0.71344,0.23598,0.5238,0.96098,0.0014852,0.0014852,0.0014852
54,757.788,0.53745,0.49654,0.39991,1.04148,0.99745,1,0.995,0.77181,0.99745,1,0.995,0.91466,0.77958,0.29732,0.58482,0.89079,0.0014753,0.0014753,0.0014753
55,771.863,0.50297,0.4844,0.37943,1.02395,0.99646,1,0.995,0.89603,0.99646,1,0.995,0.85,0.65401,0.26779,0.59362,1.01152,0.0014654,0.0014654,0.0014654
56,786.029,0.50065,0.50037,0.37025,1.0345,0.99726,1,0.995,0.78491,0.99726,1,0.995,0.82461,0.65336,0.23964,0.61518,0.94661,0.0014555,0.0014555,0.0014555
57,800.051,0.49493,0.50047,0.35815,1.02801,0.99581,1,0.995,0.81122,0.99581,1,0.995,0.92107,0.74785,0.25841,0.47392,0.98909,0.0014456,0.0014456,0.0014456
58,813.974,0.51724,0.48781,0.38254,1.03788,0.99699,1,0.995,0.81015,0.99699,1,0.995,0.9041,0.74986,0.37079,0.64228,0.90371,0.0014357,0.0014357,0.0014357
59,827.835,0.52369,0.49019,0.37855,1.05245,0.99258,1,0.995,0.80652,0.99258,1,0.995,0.95796,0.70133,0.24788,0.53963,0.86078,0.0014258,0.0014258,0.0014258
60,841.763,0.48679,0.45191,0.34245,1.0155,0.9969,1,0.995,0.78393,0.9969,1,0.995,0.92034,0.84948,0.2504,0.59681,0.91751,0.0014159,0.0014159,0.0014159
61,856.082,0.5054,0.46633,0.37622,1.02842,0.99663,1,0.995,0.87263,0.99663,1,0.995,0.88504,0.58566,0.23277,1.04114,0.89162,0.001406,0.001406,0.001406
62,870.899,0.47514,0.45645,0.36768,1.03413,0.99698,1,0.995,0.86942,0.99698,1,0.995,0.93076,0.5775,0.24467,0.46999,0.80869,0.0013961,0.0013961,0.0013961
63,885.79,0.47269,0.42287,0.36201,1.02385,0.99729,1,0.995,0.83647,0.99729,1,0.995,0.93688,0.61846,0.24261,0.43839,0.79795,0.0013862,0.0013862,0.0013862
64,900.715,0.49529,0.46495,0.36238,1.01311,0.99759,1,0.995,0.83845,0.99759,1,0.995,0.90019,0.66618,0.23598,0.43259,0.96555,0.0013763,0.0013763,0.0013763
65,915.538,0.51448,0.51881,0.37405,1.0338,0.9976,1,0.995,0.81018,0.9976,1,0.995,0.94333,0.75233,0.25108,0.42727,0.83588,0.0013664,0.0013664,0.0013664
66,930.714,0.49367,0.49793,0.36508,1.03075,0.99733,1,0.995,0.86757,0.99733,1,0.995,0.93533,0.58233,0.24696,0.4319,0.74624,0.0013565,0.0013565,0.0013565
67,945.936,0.50651,0.49234,0.37482,1.03718,0.99547,1,0.995,0.84563,0.99547,1,0.995,0.90995,0.68166,0.24467,0.52553,0.95648,0.0013466,0.0013466,0.0013466
68,961.03,0.47392,0.45877,0.35521,1.00653,0.9973,1,0.995,0.84576,0.9973,1,0.995,0.93311,0.62615,0.2417,0.5208,0.83372,0.0013367,0.0013367,0.0013367
69,976.006,0.47656,0.45762,0.36134,1.01626,0.98839,1,0.995,0.80885,0.98839,1,0.995,0.95565,0.65824,0.26848,0.48451,0.81067,0.0013268,0.0013268,0.0013268
70,991.05,0.47121,0.47653,0.35942,1.00203,0.9967,1,0.995,0.85895,0.9967,1,0.995,0.92901,0.59943,0.24216,0.53808,0.83155,0.0013169,0.0013169,0.0013169
71,1006.31,0.46427,0.45616,0.33608,1.00396,0.99643,1,0.995,0.8819,0.99643,1,0.995,0.91879,0.65325,0.233,0.57693,0.85086,0.001307,0.001307,0.001307
72,1021.41,0.4788,0.47975,0.34925,1.02497,0.99713,1,0.995,0.83438,0.99713,1,0.995,0.90372,0.74,0.23895,0.44778,0.91667,0.0012971,0.0012971,0.0012971
73,1036.39,0.44782,0.41695,0.3288,1.00726,0.99735,1,0.995,0.90135,0.99735,1,0.995,0.93718,0.55774,0.24422,0.43698,0.74721,0.0012872,0.0012872,0.0012872
74,1051.43,0.47519,0.45437,0.34503,1.01594,0.99599,1,0.995,0.87516,0.99599,1,0.995,0.94234,0.59415,0.25475,0.47845,0.75406,0.0012773,0.0012773,0.0012773
75,1066.19,0.46515,0.42549,0.34845,1.00829,0.99702,1,0.995,0.83737,0.99702,1,0.995,0.93557,0.66084,0.23289,0.47483,0.82343,0.0012674,0.0012674,0.0012674
76,1080.92,0.47083,0.4741,0.33897,1.00454,0.99753,1,0.995,0.89171,0.99753,1,0.995,0.94037,0.57779,0.22785,0.41118,0.76534,0.0012575,0.0012575,0.0012575
77,1095.9,0.44736,0.44181,0.33825,0.99124,0.99663,1,0.995,0.82344,0.99663,1,0.995,0.94906,0.72834,0.23918,0.43007,0.8017,0.0012476,0.0012476,0.0012476
78,1110.87,0.4621,0.44732,0.32595,0.99725,0.99752,1,0.995,0.88633,0.99752,1,0.995,0.94581,0.57811,0.23277,0.41736,0.80661,0.0012377,0.0012377,0.0012377
79,1125.72,0.43696,0.44548,0.33162,0.98876,0.99522,1,0.995,0.88928,0.99522,1,0.995,0.92259,0.56596,0.22831,0.43401,0.85695,0.0012278,0.0012278,0.0012278
80,1140.74,0.46871,0.48326,0.34679,0.99643,0.99738,1,0.995,0.86034,0.99738,1,0.995,0.93745,0.63556,0.23529,0.44706,0.81894,0.0012179,0.0012179,0.0012179
81,1155.01,0.46195,0.42874,0.32969,1.00044,0.99717,1,0.995,0.8864,0.99717,1,0.995,0.89892,0.61552,0.22865,0.58081,0.80797,0.001208,0.001208,0.001208
82,1168.71,0.46659,0.43901,0.3339,1.01094,0.99721,1,0.995,0.87882,0.99721,1,0.995,0.84763,0.58914,0.25864,0.54011,0.8261,0.0011981,0.0011981,0.0011981
83,1182.47,0.45476,0.44302,0.31785,0.99731,0.99738,1,0.995,0.8311,0.99738,1,0.995,0.95287,0.73965,0.22625,0.43504,0.91566,0.0011882,0.0011882,0.0011882
84,1196.24,0.44867,0.42043,0.31696,1.00088,0.99364,1,0.995,0.84578,0.99364,1,0.995,0.91018,0.61506,0.23335,0.52352,0.86157,0.0011783,0.0011783,0.0011783
85,1209.98,0.45654,0.44882,0.3366,0.98948,0.99452,1,0.995,0.88393,0.99452,1,0.995,0.91672,0.59674,0.26138,0.39938,0.84588,0.0011684,0.0011684,0.0011684
86,1223.63,0.44997,0.48576,0.33375,0.98802,0.9975,1,0.995,0.88661,0.9975,1,0.995,0.94143,0.56825,0.25566,0.41311,0.76233,0.0011585,0.0011585,0.0011585
87,1237.25,0.45706,0.47661,0.34025,0.9913,0.99738,1,0.995,0.86949,0.99738,1,0.995,0.94337,0.63466,0.24101,0.50592,0.79046,0.0011486,0.0011486,0.0011486
88,1250.98,0.45642,0.48641,0.33759,0.98887,0.99756,1,0.995,0.87957,0.99756,1,0.995,0.95111,0.67056,0.24193,0.62704,0.80077,0.0011387,0.0011387,0.0011387
89,1264.6,0.43069,0.44652,0.30535,0.9611,0.99563,1,0.995,0.88151,0.99563,1,0.995,0.94207,0.57926,0.25543,0.55849,0.83586,0.0011288,0.0011288,0.0011288
90,1278.28,0.41931,0.44161,0.2976,0.96898,0.99755,1,0.995,0.79645,0.99755,1,0.995,0.93543,0.81375,0.23872,0.58966,0.91286,0.0011189,0.0011189,0.0011189
91,1291.87,0.40881,0.42967,0.30302,0.97317,0.99678,1,0.995,0.90889,0.99678,1,0.995,0.9483,0.53557,0.23689,0.41376,0.78992,0.001109,0.001109,0.001109
92,1305.78,0.43352,0.44965,0.31198,0.97732,0.99759,1,0.995,0.90345,0.99759,1,0.995,0.96016,0.57391,0.2306,0.42673,0.77506,0.0010991,0.0010991,0.0010991
93,1319.55,0.44543,0.45285,0.3222,0.98276,0.99775,1,0.995,0.85773,0.99775,1,0.995,0.92246,0.62174,0.22739,0.42059,0.82946,0.0010892,0.0010892,0.0010892
94,1333.31,0.41643,0.42332,0.2949,0.97531,0.99601,1,0.995,0.86325,0.99601,1,0.995,0.91767,0.56011,0.30144,0.41115,0.74924,0.0010793,0.0010793,0.0010793
95,1347.08,0.44968,0.44634,0.33539,0.9914,0.99739,1,0.995,0.87183,0.99739,1,0.995,0.89404,0.59246,0.22579,0.40262,0.78095,0.0010694,0.0010694,0.0010694
96,1360.62,0.4205,0.46002,0.30476,0.9672,0.99269,1,0.995,0.89377,0.99269,1,0.995,0.8776,0.55083,0.23643,0.39064,0.78547,0.0010595,0.0010595,0.0010595
97,1374.18,0.45528,0.45609,0.331,0.99269,0.99461,1,0.995,0.81957,0.99461,1,0.995,0.92045,0.73418,0.2322,0.43854,0.90955,0.0010496,0.0010496,0.0010496
98,1387.84,0.44956,0.429,0.31229,0.9919,0.99748,1,0.995,0.85635,0.99748,1,0.995,0.9186,0.60315,0.23529,0.63981,0.81571,0.0010397,0.0010397,0.0010397
